,0,1,2,3,4,5,6,7,8,9,10
1811,90547001,Bacillus alcalophilus,active,2002-01-31,Bacillus alcalophilus (organism),Bacillus alcalophilus,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus alcalophilus 90547001,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1813,428278005,Bacillus algicola,active,2008-01-31,Bacillus algicola (organism),Bacillus algicola,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus algicola 428278005,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1815,114088008,Paenibacillus alvei,active,2002-01-31,Paenibacillus alvei (organism),Paenibacillus alveiBacillus alvei,Paenibacillus 114086007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Endospore forming gram-positive rod 115197001 Paenibacillus 114086007 Paenibacillus alvei 114088008,sorted most to least specificPaenibacillus 114086007Paenibacillaceae 414213002Endospore forming gram-positive rod 115197001Gram-positive bacillus 83514008Bacillales 409842007Form-bacillus 416455007Class Bacilli 416207009Firmicutes 115195009Gram-positive bacteria 8745002Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1817,82289003,Bacillus amyloliquefaciens,active,2002-01-31,Bacillus amyloliquefaciens (organism),Bacillus amyloliquefaciensBacillus amyloliquifaciens,Bacillus subtilis group 413621007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus subtilis group 413621007 Bacillus amyloliquefaciens 82289003,sorted most to least specificBacillus subtilis group 413621007Bacillus 44762009Aerobic bacteria 27471002Bacillaceae 114251000Gram-positive spore-forming bacillus 44143003Bacillales 409842007Endospore forming gram-positive rod 115197001Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1821,21927003,Bacillus anthracis,active,2002-01-31,Bacillus anthracis (organism),Bacillus anthracisAnthrax bacillus,Bacillus cereus group 413618005,Bacillus anthracis - avirulent strain 4981000124105 removed: 2013-03-01Bacillus anthracis - Pasteur strain 420093001Bacillus anthracis - Sterne strain 418055006Bacillus anthracis - virulent strain 418909007Bacillus anthracis avirulent strain 450877007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus cereus group 413618005 Bacillus anthracis 21927003,sorted most to least specificBacillus cereus group 413618005Bacillus 44762009Aerobic bacteria 27471002Bacillaceae 114251000Gram-positive spore-forming bacillus 44143003Bacillales 409842007Endospore forming gram-positive rod 115197001Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
1823,423188000,Bacillus aquimaris,active,2007-01-31,Bacillus aquimaris (organism),Bacillus aquimaris,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus aquimaris 423188000,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1825,429004008,Bacillus arseniciselenatis,active,2008-01-31,Bacillus arseniciselenatis (organism),Bacillus arseniciselenatis,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus arseniciselenatis 429004008,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1827,429115001,Bacillus asahii,active,2008-01-31,Bacillus asahii (organism),Bacillus asahii,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus asahii 429115001,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1829,113450006,Bacillus atrophaeus,active,2002-01-31,Bacillus atrophaeus (organism),Bacillus atrophaeus,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus atrophaeus 113450006,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1831,72997009,Bacillus azotoformans,active,2002-01-31,Bacillus azotoformans (organism),Bacillus azotoformans,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus azotoformans 72997009,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1833,33457001,Bacillus badius,active,2002-01-31,Bacillus badius (organism),Bacillus badius,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus badius 33457001,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1835,429638004,Fictibacillus barbaricus,active,2008-01-31,Fictibacillus barbaricus (organism),Bacillus barbaricusFictibacillus barbaricus,Fictibacillus 717637008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Endospore forming gram-positive rod 115197001 Bacillaceae 114251000 Fictibacillus 717637008 Fictibacillus barbaricus 429638004,sorted most to least specificFictibacillus 717637008Bacillaceae 114251000Bacillales 409842007Endospore forming gram-positive rod 115197001Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1837,429246006,Bacillus bataviensis,active,2008-01-31,Bacillus bataviensis (organism),Bacillus bataviensis,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus bataviensis 429246006,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
